"ID","CodigoEstacion","CodigoSensor","FechaObservacion","ValorObservado","NombreEstacion","Departamento","Municipio","ZonaHidrografica","Latitud","Longitud","DescripcionSensor","UnidadMedida"
1,21205710,27,"2023 Sep 14 06:00:00 AM","97","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
2,21205012,27,"2023 Oct 08 04:00:00 AM","94","UNIVERSIDAD NACIONAL","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,63723","-74,08892","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
3,21205710,27,"2023 Sep 18 03:00:00 AM","93","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
4,21205710,27,"2023 Sep 16 06:00:00 AM","92","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
5,21205710,27,"2023 Sep 13 03:00:00 AM","97","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
6,21205710,27,"2023 Sep 28 07:00:00 PM","94","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
7,21205012,27,"2023 Sep 20 07:00:00 AM","88","UNIVERSIDAD NACIONAL","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,63723","-74,08892","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
8,21205710,27,"2023 Sep 30 08:00:00 AM","73","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
9,21205710,27,"2023 Sep 21 07:00:00 AM","99","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
10,21205710,27,"2023 Sep 16 11:00:00 PM","75","JARDIN BOTANICO","BOGOTÁ","BOGOTA D.C","ALTO MAGDALENA","4,66933333","-74,10266667","HUMEDAD DEL SUELO A 1 m Ó MAS","%"
